islandId,iteration,populationSize,entitiesDied,entitiesBorn,migrationDelta,best,mean
1,71,107,31,32,0,1,5.588785046728972
2,71,108,29,30,8,1,5.694444444444445
0,71,101,30,30,0,3,5.6138613861386135
1,72,107,32,32,0,3,5.514018691588785
2,72,108,32,32,0,1,5.351851851851852
0,72,101,30,30,0,3,5.4950495049504955
1,73,107,32,32,0,3,5.5514018691588785
2,73,108,32,32,0,2,5.518518518518518
0,73,101,30,30,0,2,5.336633663366337
1,74,107,32,32,0,3,5.598130841121495
2,74,108,32,32,0,2,5.305555555555555
0,74,101,30,30,0,2,5.2772277227722775
1,75,107,32,32,0,2,5.635514018691588
2,75,108,32,32,0,1,5.518518518518518
0,75,101,30,30,0,2,5.247524752475248
1,76,107,32,32,0,2,5.822429906542056
2,76,108,32,32,0,1,5.638888888888889
0,76,101,30,30,0,2,5.415841584158416
1,77,107,32,32,0,2,5.644859813084112
2,77,108,32,32,0,2,5.592592592592593
0,77,101,30,30,0,2,5.306930693069307
1,78,107,32,32,0,2,5.616822429906542
2,78,108,32,32,0,2,5.638888888888889
0,78,101,30,30,0,2,5.188118811881188
0,79,101,30,30,0,2,5.346534653465347
1,79,107,32,32,0,2,5.672897196261682
2,79,108,32,32,0,3,5.648148148148148
0,80,94,30,30,-7,3,5.361702127659575
1,80,106,32,32,-1,2,5.584905660377358
2,80,108,32,32,0,2,5.592592592592593
2,81,108,32,32,0,2,5.5
0,81,102,28,28,8,2,5.205882352941177
1,81,107,31,32,0,3,5.654205607476635
2,82,108,32,32,0,3,5.731481481481482
0,82,103,30,31,0,2,5.300970873786408
1,82,107,32,32,0,3,5.485981308411215
2,83,108,32,32,0,3,5.546296296296297
0,83,104,30,31,0,2,5.336538461538462
1,83,107,32,32,0,3,5.485981308411215
2,84,108,32,32,0,2,5.666666666666667
0,84,104,31,31,0,2,5.471153846153846
1,84,107,32,32,0,2,5.598130841121495
2,85,108,32,32,0,3,5.722222222222222
0,85,104,31,31,0,2,5.5
1,85,107,32,32,0,2,5.598130841121495
2,86,108,32,32,0,3,5.62037037037037
0,86,104,31,31,0,3,5.846153846153846
1,86,107,32,32,0,2,5.4953271028037385
2,87,108,32,32,0,3,5.722222222222222
0,87,104,31,31,0,3,5.836538461538462
1,87,107,32,32,0,2,5.261682242990654
2,88,108,32,32,0,3,5.546296296296297
0,88,104,31,31,0,3,5.990384615384615
1,88,107,32,32,0,2,5.4485981308411215
2,89,108,32,32,0,2,5.5092592592592595
0,89,104,31,31,0,2,6.125
1,89,107,32,32,0,2,5.570093457943925
2,90,100,32,32,-8,2,5.61
0,90,105,31,31,1,3,5.819047619047619
1,90,106,32,32,-1,2,5.7075471698113205
2,91,108,30,30,8,2,5.731481481481482
0,91,105,31,31,0,2,5.542857142857143
1,91,107,31,32,0,3,5.514018691588785
2,92,108,32,32,0,2,5.4907407407407405
0,92,105,31,31,0,2,5.466666666666667
1,92,107,32,32,0,3,5.775700934579439
2,93,108,32,32,0,2,5.75
0,93,105,31,31,0,2,5.704761904761905
1,93,107,32,32,0,3,5.626168224299065
2,94,108,32,32,0,2,5.787037037037037
0,94,105,31,31,0,3,5.771428571428571
1,94,107,32,32,0,3,5.785046728971962
2,95,108,32,32,0,2,5.546296296296297
2,96,108,32,32,0,2,5.657407407407407
2,97,108,32,32,0,2,5.407407407407407
0,95,105,31,31,0,3,5.666666666666667
1,95,107,32,32,0,2,5.728971962616822
2,98,108,32,32,0,2,5.666666666666667
0,96,105,31,31,0,3,5.495238095238095
1,96,107,32,32,0,3,5.97196261682243
2,99,108,32,32,0,3,5.5092592592592595
0,97,105,31,31,0,3,5.371428571428571
1,97,107,32,32,0,2,5.962616822429907
2,100,100,32,32,-8,3,5.53
2,101,100,30,30,0,3,5.74
0,98,113,31,31,8,3,5.407079646017699
1,98,107,32,32,0,3,5.91588785046729
2,102,100,30,30,0,2,5.59
0,99,114,33,34,0,2,5.5701754385964914
0,100,106,34,34,-8,3,5.820754716981132
1,99,115,32,32,8,2,5.8
2,103,100,30,30,0,3,5.74
0,101,107,31,32,0,3,5.738317757009346
1,100,107,34,34,-8,3,5.813084112149533
2,104,108,30,30,8,2,5.444444444444445
0,102,107,32,32,0,2,5.654205607476635
1,101,107,32,32,0,3,5.990654205607477
2,105,108,32,32,0,2,5.546296296296297
0,103,107,32,32,0,2,5.514018691588785
1,102,107,32,32,0,3,5.747663551401869
2,106,108,32,32,0,2,5.444444444444445
0,104,107,32,32,0,3,5.672897196261682
1,103,107,32,32,0,2,5.747663551401869
2,107,108,32,32,0,2,5.564814814814815
0,105,107,32,32,0,3,5.813084112149533
1,104,107,32,32,0,2,5.850467289719626
2,108,108,32,32,0,1,5.518518518518518
0,106,107,32,32,0,2,5.579439252336448
1,105,107,32,32,0,2,5.859813084112149
2,109,108,32,32,0,2,5.555555555555555
0,107,107,32,32,0,2,5.4953271028037385
1,106,107,32,32,0,3,5.738317757009346
2,110,100,32,32,-8,2,5.77
0,108,115,32,32,8,2,5.495652173913044
1,107,107,32,32,0,3,5.607476635514018
1,108,107,32,32,0,3,5.607476635514018
2,111,100,30,30,0,2,5.55
0,109,115,34,34,0,2,5.747826086956522
1,109,107,32,32,0,3,5.5233644859813085
1,110,99,32,32,-8,3,5.525252525252525
2,112,108,30,30,8,2,5.2407407407407405
0,110,107,34,34,-8,3,5.766355140186916
1,111,108,29,30,8,2,5.407407407407407
2,113,108,32,32,0,2,5.324074074074074
0,111,107,32,32,0,2,5.94392523364486
1,112,108,32,32,0,2,5.592592592592593
2,114,108,32,32,0,2,5.222222222222222
2,115,108,32,32,0,2,4.972222222222222
0,112,107,32,32,0,2,5.878504672897196
1,113,108,32,32,0,2,5.601851851851852
2,116,108,32,32,0,2,5.305555555555555
0,113,107,32,32,0,2,5.728971962616822
1,114,108,32,32,0,2,5.37962962962963
2,117,108,32,32,0,2,5.305555555555555
0,114,107,32,32,0,3,5.672897196261682
1,115,108,32,32,0,1,5.537037037037037
2,118,108,32,32,0,2,5.398148148148148
0,115,107,32,32,0,2,5.719626168224299
1,116,108,32,32,0,2,5.546296296296297
2,119,108,32,32,0,2,5.185185185185185
0,116,107,32,32,0,2,5.485981308411215
1,117,108,32,32,0,2,5.712962962962963
2,120,100,32,32,-8,3,5.28
0,117,115,32,32,8,2,5.434782608695652
1,118,108,32,32,0,3,5.4907407407407405
1,119,108,32,32,0,3,5.601851851851852
2,121,100,30,30,0,2,5.64
0,118,115,34,34,0,2,5.356521739130435
1,120,100,32,32,-8,2,5.61
2,122,108,30,30,8,2,5.314814814814815
0,119,115,34,34,0,2,5.434782608695652
1,121,100,30,30,0,2,5.49
2,123,108,32,32,0,2,5.518518518518518
0,120,107,34,34,-8,2,5.635514018691588
0,121,107,32,32,0,2,5.598130841121495
1,122,108,30,30,8,2,5.407407407407407
2,124,108,32,32,0,1,5.444444444444445
0,122,107,32,32,0,2,5.4485981308411215
1,123,108,32,32,0,1,5.361111111111111
2,125,108,32,32,0,1,5.611111111111111
0,123,107,32,32,0,2,5.654205607476635
1,124,108,32,32,0,1,5.314814814814815
1,125,108,32,32,0,1,5.592592592592593
1,126,108,32,32,0,3,5.62962962962963
1,127,108,32,32,0,3,5.62962962962963
2,126,108,32,32,0,2,5.638888888888889
0,124,107,32,32,0,3,5.878504672897196
1,128,108,32,32,0,3,5.685185185185185
2,127,108,32,32,0,2,5.62037037037037
0,125,107,32,32,0,2,5.747663551401869
1,129,108,32,32,0,2,5.611111111111111
2,128,108,32,32,0,2,5.712962962962963
0,126,107,32,32,0,2,5.785046728971962
0,127,107,32,32,0,2,5.5514018691588785
1,130,100,32,32,-8,2,5.66
2,129,116,32,32,8,2,5.387931034482759
0,128,107,32,32,0,2,5.4953271028037385
1,131,100,30,30,0,3,5.74
2,130,109,34,35,-8,2,5.513761467889908
0,129,115,32,32,8,2,5.460869565217391
1,132,100,30,30,0,3,5.71
2,131,110,32,33,0,2,5.6
0,130,107,34,34,-8,2,5.747663551401869
1,133,108,30,30,8,2,5.472222222222222
2,132,110,33,33,0,2,5.836363636363636
0,131,107,32,32,0,3,5.766355140186916
1,134,108,32,32,0,2,5.388888888888889
2,133,110,33,33,0,2,5.7
0,132,107,32,32,0,3,5.588785046728972
1,135,108,32,32,0,3,5.62962962962963
2,134,110,33,33,0,2,5.718181818181818
0,133,107,32,32,0,3,5.813084112149533
1,136,108,32,32,0,3,5.592592592592593
2,135,110,33,33,0,2,5.827272727272727
0,134,107,32,32,0,3,5.719626168224299
1,137,108,32,32,0,3,5.5092592592592595
2,136,110,33,33,0,2,5.636363636363637
0,135,107,32,32,0,3,5.598130841121495
1,138,108,32,32,0,3,5.638888888888889
2,137,110,33,33,0,2,5.763636363636364
0,136,107,32,32,0,2,5.392523364485982
0,137,107,32,32,0,2,5.299065420560748
1,139,108,32,32,0,3,5.518518518518518
2,138,110,33,33,0,2,5.781818181818182
0,138,107,32,32,0,2,5.336448598130841
1,140,100,32,32,-8,1,5.59
2,139,118,33,33,8,2,5.5
0,139,107,32,32,0,2,5.373831775700935
1,141,100,30,30,0,2,5.62
2,140,110,35,35,-8,2,5.790909090909091
0,140,107,32,32,0,1,5.579439252336448
1,142,108,30,30,8,2,5.518518518518518
2,141,110,33,33,0,2,5.636363636363637
0,141,107,32,32,0,3,5.5233644859813085
1,143,108,32,32,0,1,5.388888888888889
2,142,110,33,33,0,2,5.790909090909091
0,142,107,32,32,0,3,5.327102803738318
1,144,108,32,32,0,2,5.277777777777778
2,143,110,33,33,0,2,5.5636363636363635
0,143,107,32,32,0,3,5.327102803738318
1,145,108,32,32,0,2,5.268518518518518
2,144,110,33,33,0,3,5.536363636363636
0,144,107,32,32,0,3,5.457943925233645
1,146,108,32,32,0,2,5.518518518518518
2,145,110,33,33,0,2,5.463636363636364
0,145,107,32,32,0,2,5.401869158878505
1,147,108,32,32,0,2,5.5
2,146,110,33,33,0,2,5.590909090909091
0,146,107,32,32,0,2,5.327102803738318
1,148,108,32,32,0,2,5.518518518518518
2,147,110,33,33,0,3,5.6454545454545455
0,147,107,32,32,0,2,5.383177570093458
1,149,108,32,32,0,2,5.444444444444445
2,148,110,33,33,0,2,5.718181818181818
0,148,107,32,32,0,2,5.5514018691588785
1,150,100,32,32,-8,3,5.51
2,149,118,33,33,8,2,5.338983050847458
0,149,107,32,32,0,3,5.514018691588785
1,151,100,30,30,0,3,5.63
1,152,100,30,30,0,2,5.65
2,150,110,35,35,-8,2,5.363636363636363
0,150,107,32,32,0,2,5.654205607476635
1,153,108,30,30,8,2,5.472222222222222
2,151,110,33,33,0,2,5.3545454545454545
0,151,107,32,32,0,2,5.719626168224299
0,152,107,32,32,0,2,5.598130841121495
1,154,108,32,32,0,2,5.518518518518518
2,152,110,33,33,0,2,5.3090909090909095
0,153,107,32,32,0,3,5.644859813084112
1,155,108,32,32,0,3,5.7407407407407405
2,153,110,33,33,0,2,5.4
0,154,107,32,32,0,2,5.542056074766355
0,155,107,32,32,0,2,5.392523364485982
1,156,108,32,32,0,3,5.648148148148148
2,154,110,33,33,0,2,5.5181818181818185
0,156,107,32,32,0,2,5.327102803738318
1,157,108,32,32,0,3,6.0092592592592595
2,155,110,33,33,0,2,5.763636363636364
0,157,107,32,32,0,2,5.214953271028038
1,158,108,32,32,0,3,5.935185185185185
1,159,108,32,32,0,3,5.685185185185185
2,156,110,33,33,0,2,5.463636363636364
0,158,107,32,32,0,2,5.0
1,160,100,32,32,-8,4,5.88
2,157,118,33,33,8,2,5.313559322033898
0,159,107,32,32,0,2,4.990654205607477
0,160,99,32,32,-8,2,4.91919191919192
1,161,108,30,30,8,2,5.7592592592592595
2,158,118,35,35,0,2,5.389830508474576
0,161,100,29,30,0,2,5.03
0,162,100,30,30,0,2,5.15
1,162,108,32,32,0,3,5.722222222222222
2,159,118,35,35,0,2,5.38135593220339
0,163,100,30,30,0,1,5.27
1,163,108,32,32,0,3,5.564814814814815
2,160,110,35,35,-8,2,5.1909090909090905
0,164,108,30,30,8,2,5.092592592592593
1,164,108,32,32,0,2,5.564814814814815
2,161,110,33,33,0,2,5.445454545454545
0,165,108,32,32,0,2,5.064814814814815
1,165,108,32,32,0,2,5.555555555555555
