islandId,iteration,populationSize,entitiesDied,entitiesBorn,migrationDelta,best,mean
2,84,987,296,296,0,99,91.50253292806484
3,89,1021,306,306,0,99,92.0205680705191
4,86,975,292,292,0,98,91.53641025641025
0,91,948,285,284,0,97,91.46413502109705
1,87,1040,312,312,0,98,91.65
2,85,987,296,296,0,99,91.5694022289767
3,90,949,306,306,-72,98,91.96838777660696
4,87,1047,292,292,72,98,91.79465138490926
0,92,948,284,284,0,98,91.51793248945148
1,88,1040,312,312,0,98,91.7
2,86,987,296,296,0,99,91.67983789260386
3,91,948,285,284,0,99,92.07278481012658
4,88,1047,314,314,0,97,91.87774594078319
0,93,948,284,284,0,98,91.6402953586498
1,89,1040,312,312,0,98,91.8375
2,87,987,296,296,0,99,91.8774062816616
2,88,987,296,296,0,99,91.88044579533941
3,92,948,284,284,0,98,92.0084388185654
4,89,1047,314,314,0,98,92.05253104106973
0,94,948,284,284,0,98,91.69725738396625
1,90,967,312,312,-73,97,91.66287487073423
2,89,1060,296,296,73,99,92.16603773584906
3,93,948,284,284,0,98,92.17194092827005
4,90,974,314,314,-73,98,92.02053388090349
0,95,1021,284,284,73,99,91.9382957884427
1,91,967,290,290,0,98,91.76628748707343
2,90,986,318,318,-74,98,92.00202839756592
3,94,1022,284,284,74,98,92.35714285714286
4,91,974,292,292,0,98,91.96303901437372
0,96,1021,306,306,0,99,92.0048971596474
1,92,967,290,290,0,98,91.87487073422957
2,91,985,296,295,0,98,91.98071065989848
2,92,985,295,295,0,98,92.04873096446701
3,95,1021,307,306,0,98,92.44662095984329
4,92,974,292,292,0,98,92.10574948665298
0,97,1021,306,306,0,98,92.16552399608227
1,93,967,290,290,0,98,91.97207859358842
2,93,985,295,295,0,98,92.15837563451777
3,96,1021,306,306,0,99,92.61312438785504
3,97,1021,306,306,0,99,92.6356513222331
4,93,974,292,292,0,98,92.09034907597535
4,94,974,292,292,0,99,92.17351129363449
0,98,1021,306,306,0,98,92.30656219392752
1,94,967,290,290,0,98,91.98552223371252
2,94,985,295,295,0,98,92.1492385786802
3,98,1021,306,306,0,98,92.71400587659157
4,95,974,292,292,0,98,92.33367556468173
0,99,1021,306,306,0,98,92.36336924583742
1,95,967,290,290,0,99,92.15201654601861
2,95,985,295,295,0,98,92.2507614213198
2,96,985,295,295,0,98,92.33096446700507
3,99,1021,306,306,0,99,92.80215475024485
4,96,974,292,292,0,98,92.39630390143738
0,100,949,306,306,-72,97,92.09694415173867
1,96,1039,290,290,72,99,92.48123195380174
2,97,985,295,295,0,98,92.54720812182741
3,100,949,306,306,-72,99,92.76080084299262
4,97,1046,292,292,72,100,92.6300191204589
1,97,1038,312,311,0,100,92.6868978805395
2,98,985,295,295,0,98,92.61827411167512
3,101,948,285,284,0,99,92.68881856540085
